"","KNN2","KNN5","KNN10","LLS","PPCA","BPCA","SVD"
"1",0.738591276263664,0.719545072828973,0.739290056736459,0.5979183544304,0.901299189614906,0.998034868344709,0.901311388567277
"2",0.731614615282274,0.71507774788739,0.734920880536826,0.593816768282392,0.900223916903091,0.997992199857014,0.90021895370888
"3",0.731212248701938,0.714363912244456,0.733871124990015,0.59303413118608,0.899831291994469,0.997924071236763,0.899840568577399
"4",0.7318790772747,0.714358765705997,0.736727613390564,0.593815083797461,0.901510613070247,0.997967868257746,0.901545257042195
"5",0.727543399697914,0.708439459095967,0.729036994959386,0.595815035138721,0.900407522115755,0.99851162816464,0.900396674063883
"6",0.734814494787327,0.71757148771012,0.737808521439758,0.5926228189102,0.900670566514365,0.997389858963755,0.900666327778061
"7",0.727543399697914,0.708439459095967,0.729036994959386,0.595815035138721,0.900407522115755,0.99851162816464,0.900396674063883
"8",0.734814494787327,0.71757148771012,0.737808521439758,0.5926228189102,0.900670566514365,0.997389858963755,0.900666327778061
"9",0.727543399697914,0.708439459095967,0.729036994959386,0.595815035138721,0.900407522115755,0.99851162816464,0.900396674063883
"10",0.734814494787327,0.71757148771012,0.737808521439758,0.5926228189102,0.900670566514365,0.997389858963755,0.900666327778061
"11",0.727543399697914,0.708439459095967,0.729036994959386,0.595815035138721,0.900407522115755,0.99851162816464,0.900396674063883
"12",0.734814494787327,0.71757148771012,0.737808521439758,0.5926228189102,0.900670566514365,0.997389858963755,0.900666327778061
"13",0.727543399697914,0.708439459095967,0.729036994959386,0.595815035138721,0.900407522115755,0.99851162816464,0.900396674063883
"14",0.734814494787327,0.71757148771012,0.737808521439758,0.5926228189102,0.900670566514365,0.997389858963755,0.900666327778061
"15",0.727543399697914,0.708439459095967,0.729036994959386,0.595815035138721,0.900407522115755,0.99851162816464,0.900396674063883
"16",0.734814494787327,0.71757148771012,0.737808521439758,0.5926228189102,0.900670566514365,0.997389858963755,0.900666327778061
"17",0.727543399697914,0.708439459095967,0.729036994959386,0.595815035138721,0.900407522115755,0.99851162816464,0.900396674063883
"18",0.734814494787327,0.71757148771012,0.737808521439758,0.5926228189102,0.900670566514365,0.997389858963755,0.900666327778061
"19",0.727543399697914,0.708439459095967,0.729036994959386,0.595815035138721,0.900407522115755,0.99851162816464,0.900396674063883
"20",0.734814494787327,0.71757148771012,0.737808521439758,0.5926228189102,0.900670566514365,0.997389858963755,0.900666327778061
"21",0.727543399697914,0.708439459095967,0.729036994959386,0.595815035138721,0.900407522115755,0.99851162816464,0.900396674063883
"22",0.734814494787327,0.71757148771012,0.737808521439758,0.5926228189102,0.900670566514365,0.997389858963755,0.900666327778061
"23",0.727543399697914,0.708439459095967,0.729036994959386,0.595815035138721,0.900407522115755,0.99851162816464,0.900396674063883
